Name,Address,Courtlink
Perris Hill Park,"865 E Highland Ave, San Bernardino, CA 92404, USA",https://www.pickleheads.com/courts/us/california/san-bernardino/perris-hill-park
Upland Arena Pickleball,"1721 W 11th St, Upland, CA, 91786, USA",https://www.pickleheads.com/courts/us/california/upland/upland-arena-pickleball
Eastvale Community Center,"13820 Schleisman Rd, Eastvale, CA, 92880, USA",https://www.pickleheads.com/courts/us/california/eastvale/eastvale-community-center
Vim + Vigor Canyon Crest,"5225 Canyon Crest Drive, Riverside, CA, USA",https://www.pickleheads.com/courts/us/california/riverside/vim-vigor-canyon-crest
Reid Park-Ruth H Lewis Center,"701 Orange St, Riverside, CA, 92501, USA",https://www.pickleheads.com/courts/us/california/riverside/reid-park-ruth-h-lewis-center
De Anza Community And Teen Center,"1405 S Fern Ave, Ontario, CA, 91762, USA",https://www.pickleheads.com/courts/us/california/ontario/de-anza-community-and-teen-center
Rancho Cucamonga Sports Center,"8303 Rochester Ave, Rancho Cucamonga, CA, 91730, USA",https://www.pickleheads.com/courts/us/california/rancho-cucamonga/rancho-cucamonga-sports-center
Creekside park,"3151 E Riverside Dr, Ontario, CA 91761, United States",https://www.pickleheads.com/courts/us/california/ontario/creekside-park
Azure Hills SDA Church,"22633 Barton Rd, Grand Terrace, CA, 92313, USA",https://www.pickleheads.com/courts/us/california/grand-terrace/azure-hills-sda-church
Chino Rancho Park,"5325 Phillips Blvd, Chino, CA 91710, USA",https://www.pickleheads.com/courts/us/california/chino/chino-rancho-park
Elmer Digneo Park,"10925 Parkland St, Loma Linda, CA, 92354, USA",https://www.pickleheads.com/courts/us/california/loma-linda/elmer-digneo-park
Chino Valley YMCA,"5665 Edison Ave, Chino, CA, 91710, USA",https://www.pickleheads.com/courts/us/california/chino/chino-valley-ymca
Citrus Trails Park,"26312 Park Ave, Redlands, CA 92373, USA",https://www.pickleheads.com/courts/us/california/redlands/citrus-trails-park
Redlands Community Center,"111 W Lugonia Ave, Redlands, CA, 92374, USA",https://www.pickleheads.com/courts/us/california/redlands/redlands-community-center
Red Hill Community Park,"7484 Vineyard Ave, Rancho Cucamonga, CA 91730",https://www.pickleheads.com/courts/us/california/rancho-cucamonga/red-hill-community-park
Mountain View Park,"14444 Selby Ave, Eastvale, CA 92880, USA",https://www.pickleheads.com/courts/us/california/eastvale/mountain-view-park
Koehler Park,"15352 Walnut St, Fontana, CA 92336, USA",https://www.pickleheads.com/courts/us/california/fontana/koehler-park
Shadow Park,"14250 Shadow Dr, Fontana, CA, 92337, USA",https://www.pickleheads.com/courts/us/california/fontana/shadow-park
San Sevaine Park,"5444 Cherry Ave, Fontana, CA 92336, USA",https://www.pickleheads.com/courts/us/california/fontana/san-sevaine-park
Highland Family YMCA,"7793 Central Ave, Highland, CA, 92346, USA",https://www.pickleheads.com/courts/us/california/highland/highland-family-ymca
McDermott Sports Complex,"7846 South Heritage Circle, Fontana, CA, USA",https://www.pickleheads.com/courts/us/california/fontana/mcdermott-sports-complex
Westwind Community Center,"2455 E Riverside Dr, Ontario, CA, 91761, USA",https://www.pickleheads.com/courts/us/california/ontario/westwind-community-center
Jack Bulik Park & Multi-Purpose Rink,"16581 Filbert St, Fontana, CA, 92335, USA",https://www.pickleheads.com/courts/us/california/fontana/jack-bulik-park-and-multi-purpose-rink
The Claremomt Club,"1777 Monte Vista Ave, Claremont, CA 91711, United States",https://www.pickleheads.com/courts/us/california/claremont/the-claremomt-club
Victoria Club,"2521 Arroyo Drive, Riverside, CA, USA",https://www.pickleheads.com/courts/us/california/riverside/victoria-club
LLU Drayson Center,"25040 Stewart St, Loma Linda, CA, 92354, USA",https://www.pickleheads.com/courts/us/california/loma-linda/llu-drayson-center
Rialto Fitness & Aquatic Center,"1243 South Riverside Avenue, Rialto, CA, USA",https://www.pickleheads.com/courts/us/california/rialto/rialto-fitness-and-aquatic-center
Catawba Park,"11411 Catawba Pl, Fontana, CA, 92337, USA",https://www.pickleheads.com/courts/us/california/fontana/catawba-park
Lake Gregory Education and Community Center,"24740 San Moritz Way, Lake Arrowhead, CA, 92352, USA",https://www.pickleheads.com/courts/us/california/crestline/lake-gregory-education-and-community-center
Leonard Bailey Park,"11555 Whittier Ave, Loma Linda, CA 92354, United States",https://www.pickleheads.com/courts/us/california/loma-linda/leonard-bailey-park
